Title,ID,budget,revenue,popularity,runtime,vote_average,vote_count
Kimetsu no Yaiba: Mugen Ressha-Hen,635302,15800000,503063688,237.404,117,8.249,3069
The Bridge on the River Kwai,826,3000000,44908000,13.862,161,7.822,1762
Klaus,508965,0,0,21.242,96,8.261,3371
The Treasure of the Sierra Madre,3090,3800000,4307000,13.138,126,8.0,1005
Dersu Uzala,9764,4000000,0,10.32,141,8.0,426
Le salaire de la peur,204,0,0,9.607,153,8.031,745
Harry Potter and the Deathly Hallows: Part 2,12445,125000000,1341511219,92.868,130,8.112,18673
The Grand Budapest Hotel,120467,30000000,174600318,24.731,100,8.056,13333
Mad Max: Fury Road,76341,150000000,378858340,55.516,121,7.574,20486
Pirates of the Caribbean: The Curse of the Black Pearl,22,140000000,655011224,87.104,143,7.784,18697
Stand by Me,728754,0,0,158.952,96,7.7,138
Jaws,578,7000000,470653000,35.992,124,7.654,9135
Ratatouille,2062,150000000,623726000,121.226,111,7.798,15213
Into the Wild,5915,15000000,56255142,23.405,148,7.814,8813
How to Train Your Dragon,10191,165000000,494879471,62.1,98,7.806,11753
The Wizard of Oz,630,2777000,33754967,67.82,102,7.582,4922
"Monsters, Inc.",585,115000000,579707738,114.513,92,7.83,16721
Ben-Hur,665,15000000,164000000,43.795,222,7.861,2343
Barry Lyndon,3175,11000000,198992,12.988,185,8.013,2438
The Iron Giant,10386,70000000,23159305,37.237,86,7.922,4919
Bajrangi Bhaijaan,348892,13000000,150000000,11.424,159,7.829,403
Sholay,12259,408000,4800000,9.794,204,7.0,224
The General,961,750000,1000000,9.157,79,8.007,1029
The Gold Rush,962,923000,4000000,12.098,89,8.029,1358
Kakushi-toride no san-akunin,1059,0,0,8.023,139,7.981,508
Queen,247645,1900000,17000000,6.764,146,7.376,230
Everything Everywhere All at Once,545611,25000000,139200000,82.664,140,7.849,4565
Dune: Part One,438631,165000000,402027830,184.925,155,7.801,8784
The Princess Bride,2493,16000000,30861665,16.53,99,7.661,4026
Guardians of the Galaxy,447365,250000000,35000000,1529.948,150,8.461,331
Zack Snyder's Justice League,791373,70000000,0,128.357,242,8.212,8811
Casino Royale,36557,150000000,599045960,28.777,144,7.533,9692
Zootopia,269149,150000000,1023784195,65.138,109,7.747,14848
The Martian,286217,108000000,630161890,36.929,141,7.673,18091
Planet of the Apes,869,100000000,362211740,29.923,119,5.728,3549
The Revenant,281957,135000000,532950503,36.451,157,7.521,16743
Dances with Wolves,581,22000000,424208848,22.04,181,7.854,3688
The Incredibles,9806,92000000,631442092,64.043,115,7.702,16177
Soul,508442,150000000,136384442,84.411,101,8.154,9053
Aladdin,812,28000000,504050219,48.761,95,7.645,10275
Big Fish,587,70000000,123218424,19.871,125,7.8,6558
Blood Diamond,1372,100000000,171720398,26.511,143,7.527,6796
Kaze no tani no Naushika,81,1000000,3301446,31.727,117,7.932,3034
WolfWalkers,441130,12000000,1266570,17.346,103,8.295,936
Song of the Sea,110416,0,857522,10.866,93,8.013,1233
Fitzcarraldo,9343,7362000,0,10.736,157,7.649,631
G.O.R.A.,27275,0,0,7.648,127,7.3,277
Karthikeya 2,894762,0,10384945,4.152,145,7.0,16
Puss in Boots: The Last Wish,315162,90000000,480000000,1081.528,103,8.293,5426
Avatar,19995,237000000,2923706026,171.406,162,7.569,29028
RRR (Rise Roar Revolt),579974,69000000,160000000,107.485,186,7.832,912
Edge of Tomorrow,137113,178000000,370541256,31.722,114,7.6,12459
Harry Potter and the Prisoner of Azkaban,673,130000000,789804554,101.997,141,8.022,19450
Almost Famous,786,60000000,47386287,11.827,124,7.491,2362
Iron Man,1726,140000000,585174222,68.778,126,7.6,24282
Shrek,808,60000000,487853320,159.22,90,7.722,15245
Thor: Ragnarok,284053,180000000,855301806,65.237,131,7.599,19033
Star Trek,13475,150000000,385680446,33.785,127,7.431,9108
E.T. the Extra-Terrestrial,601,10500000,792965500,27.047,115,7.507,10175
Wo hu cang long,263341,20000000,0,14.231,103,6.117,569
Fantastic Mr. Fox,10315,40000000,46471023,25.65,87,7.776,4539
The Blues Brothers,525,27000000,115229890,15.604,133,7.745,3696
Life of Pi,87827,120000000,609016565,35.644,127,7.395,12179
X-Men: Days of Future Past,127585,250000000,747862775,44.389,132,7.522,14113
Toy Story 2,863,90000000,497366869,67.704,92,7.585,12530
The Ten Commandments,6844,13000000,122700000,38.034,220,7.7,1309
Spartacus,967,12000000,60000000,32.013,197,7.55,1853
The Wild Bunch,576,6244087,638641,14.381,145,7.648,1008
The Searchers,3114,3750000,0,28.285,119,7.752,1171
Ying xiong,1058371,0,0,0.6,0,0.0,0
My Name Is Khan,26022,12000000,42345360,21.83,165,8.051,1142
Letters from Iwo Jima,1251,19000000,68673228,13.865,141,7.459,1777
Togo,884363,0,0,52.065,95,6.55,60
King Kong,254,207000000,562363449,30.799,187,6.858,7095
The Adventures of Robin Hood,10907,2033000,3981000,14.292,102,7.466,625
Sullivan's Travels,16305,700000,1200000,9.552,91,7.495,384
Avatar: The Way of Water,76600,460000000,2319331580,2244.6,192,7.712,7784
Apocalypto,1579,40000000,120654337,62.451,139,7.547,4850
Rogue One,330459,200000000,1056057273,38.614,133,7.487,14006
Thirteen Lives,698948,55000000,0,25.466,147,7.941,964
Star Wars: Episode VII - The Force Awakens,140607,245000000,2068223624,67.179,136,7.3,17973
Predator,106,15000000,98267558,48.145,107,7.491,6952
Skyfall,37724,200000000,0,39.343,143,7.222,14201
Cast Away,8358,90000000,429632142,28.327,143,7.659,10223
Back to the Future Part II,165,40000000,332000000,34.881,108,7.752,11462
Captain America: The Winter Soldier,100402,170000000,714766572,38.439,136,7.675,17258
Big Hero 6,177572,165000000,657827828,94.605,102,7.739,14402
Serenity,16320,39000000,38869464,14.64,119,7.37,3105
Paddington 2,346648,40000000,227300000,19.768,104,7.465,1984
The Fall,14784,30000000,3669465,12.392,117,7.589,1102
How to Train Your Dragon 2,82702,145000000,621537519,62.703,102,7.668,8702
Isle of Dogs,399174,62770198,64337744,15.533,101,7.862,4250
Hunt for the Wilderpeople,371645,2500000,23915910,11.921,101,7.686,1785
The Right Stuff,9549,27000000,21500000,14.787,193,7.4,735
Stagecoach,995,531374,1103757,12.088,96,7.677,940
To Have and Have Not,22584,0,3650000,7.864,100,7.5,434
The Man Who Would Be King,983,8000000,12678,11.535,129,7.497,526
Batman: Mask of the Phantasm,14919,6000000,5617391,12.204,76,7.51,919
"Aguirre, der Zorn Gottes",2000,370000,37041,9.609,95,7.525,923
Great Expectations,9410,25000000,55494066,10.852,111,6.647,519
Harry Potter and the Goblet of Fire,674,150000000,895921036,105.22,157,7.817,18742
The Goonies,9340,19000000,61389680,22.83,114,7.516,5076
Mission: Impossible - Fallout,353081,178000000,791657398,42.346,147,7.401,7129
Harry Potter and the Deathly Hallows: Part 1,12444,250000000,954305868,89.07,146,7.768,17306
Deadpool 2,383498,110000000,785896609,75.241,120,7.492,15856
Kingsman: The Secret Service,207703,81000000,414351546,82.429,129,7.638,15293
Deliverance,10669,2000000,46122355,12.778,109,7.318,1345
Tangled,38757,260000000,592461732,113.54,100,7.6,10202
Toy Story 4,301528,175000000,1073394593,62.65,100,7.5,8795
"O Brother, Where Art Thou?",134,26000000,71870729,15.94,107,7.328,3632
The Last of the Mohicans,9361,40000000,75505856,17.188,112,7.39,2649
The Lego Movie,137106,60000000,469160692,25.166,100,7.41,7009
The Count of Monte Cristo,11362,35000000,75395048,20.535,131,7.655,1538
First Blood,1368,15000000,125212904,26.752,93,7.469,5435
The Magnificent Seven,333484,90000000,162360636,41.596,132,6.408,5403
Wreck-It Ralph,82690,165000000,471222889,69.264,101,7.324,11272
Apollo 13,568,52000000,355237933,14.861,140,7.441,4865
Who Framed Roger Rabbit,856,70000000,329803958,24.446,104,7.514,5036
Goldfinger,658,2500000,124881062,20.214,110,7.352,3129
Star Trek Into Darkness,54138,190000000,467365246,30.003,132,7.331,8400
Star Trek II: The Wrath of Khan,154,12000000,96800000,12.144,113,7.5,1666
The Dirty Dozen,1654,5400000,45300000,15.242,150,7.613,1026
Kubo and the Two Strings,313297,60000000,76249438,29.807,102,7.643,3279
The African Queen,488,1000000,10750000,10.927,105,7.351,799
Kurenai no buta,11621,0,0,21.578,94,7.8,2792
Le Petit Prince,578489,0,0,0.676,125,8.0,1
Diarios de motocicleta,1653,0,57663224,11.459,126,7.428,1134
Ponniyin Selvan: I,858082,0,0,47.466,165,7.269,13
Les triplettes de Belleville,9662,9500000,14776760,9.792,80,7.377,811
Harry Potter and the Sorcerer's Stone,671,125000000,976475550,135.46,152,7.915,24690
Harry Potter and the Half-Blood Prince,767,250000000,933959197,107.397,153,7.698,17616
Guardians of the Galaxy Vol. 2,283995,200000000,863756051,352.704,137,7.622,19566
The Fifth Element,18,90000000,263920180,54.902,126,7.524,9652
Kung Fu Panda,9502,130000000,631744560,75.977,90,7.227,10182
Moana,277834,150000000,690860472,17.636,107,7.562,11179
Stardust,2270,70000000,137515140,17.698,127,7.245,3627
The Little Mermaid,447277,0,0,224.763,135,0.0,0
Star Wars: Episode III - Revenge of the Sith,1895,113000000,850000000,44.138,140,7.403,12375
